smiles,logCMC
CCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,0.800029359
CCCCCCCCCCOCCOCCOCCOCCOCCO,-0.091514981
CCCCCCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1O,-0.638272164
CCCCCCCCCCSC1OC(=O)C(O)C1O,-1.48148606
CCCCCCCCS(C)=O,1.361727836
CCCCCCOCCOCCOCCOCCO,2.025305865
CCCCCCCCc1cccc(OCCOCCOCCO)c1,-1.010105436
CCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,1.255272505
CCCCCCC(=O)OCC(O)C(O)C(O)CO,1.0
CCCCCCCCCCCC(=O)OCC1OC(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,-0.369572125
CCCC(CCC)CCOCCOCCOCCOCCOCCOCCO,1.330413773
CCCCC(CCCC)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.469822016
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-0.850780887
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,-1.578396073
CCCCCCCCCCCCNC(C)C(O)OCCOCCOCCOCCO,-0.410050399
CCCCCCCCCCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0.301029996
CCCCCCCCC(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.699837726
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,-3.004364805
CCCCCOCC(O)C(O)C(O)CO,1.589949602
CCCCCCCCCCCCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1O,-0.698970004
CCCCCCOCCOCCOCCOCCOCCO,2.053078443
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-0.346787486
CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-0.508638306
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-0.601028774
CCCCCCCCCCCCCC=CC(O)C(CO)NC(C)=O,-2.22184875
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCC,-2.302770657
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,-0.602059991
CCCCCCCC(=O)OCC(OCCOCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCO,-0.286509457
CCCCCCCCCCCC(O)N(CCO)CCO,-0.590066877
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,-1.060231224
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.11058971
CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,-1.045757491
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,-0.602059991
CCCCCCCCc1ccc(OCCOCCO)cc1,-1.11577123
CCCCCCCC(=O)OCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.667452953
CCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,2.079181246
CCCCCCCCOC(CO)CO,0.763427994
CCCCCCCCCCCC(=O)OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-0.369572125
CCCCCCS(=O)CCCCCO,2.255272505
CCCCCCCCCCCC(=O)OCC1(OC2OC(CO)C(O)C(O)C2O)OC(O)C(O)C1O,-0.469800302
CCCCCCCC(=O)OCC1OC(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,0.419955748
CCCCCCS(=O)CCO,2.397940009
CCCCCCCCCCCCNCC(O)OCCOCCOCCOCCO,-0.469800302
CCCCCCCC(=O)OCC(O)C(O)C(O)CO,1.278753601
CCCCCCCCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,1.397940009
CCCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,0.255272505
CCCCCCCC(=O)OCC(OCCOCCO)C1OCC(OCCOCCO)C1OCCOCCOCCO,-0.349692477
CC(C)CCCC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,-1.669586227
CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,-0.698970004
CCCCCCCCCCCCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)CO,-1.649751982
CCCCCCCCCCCOCCO,-0.519993057
CC(C)CCCC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,-1.525783736
CCCCCCC(CCC)OC1OC(CO)C(O)C(O)C1O,1.079181246
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCO)cc1,-0.823908741
CCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,1.579783597
CCCCC(CCCC)CCOCCOCCOCCOCCOCCOCCO,0.450249108
CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,0.929418926
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,-0.677780705
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,-1.088043811
CCCCCCCCOC1OC(CO)C(O)C(O)C1N,1.381115081
CCCCCCCCCCS(=O)CCO,0.204119983
CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.919078092
CCCCCCCCOCCOCCOCCO,0.872447648
CCCCCCS(=O)CCCO,2.397940009
CCCCCCCCC(O)CO,0.36078269
CCCCCCCCc1ccc(OCCOCCOCCOCCO)cc1,-0.886056648
OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCCCCCC3CCCCC3)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,-0.250263684
CC(C)CCCC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-2.036212173
CCCCCCCCCCCCCCCCCC(=O)OCC1(OC2OC(CO)C(O)C(O)C2O)OC(O)C(O)C1O,-2.289882635
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,-1.569441231
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)CO,-1.562249437
CCCCCCCCS(=O)CCCO,1.301029996
CCCCCCCCCCCC(O)N(CCOCCOCCOCCOC)CCOCCOCCOCCOC,-0.610833916
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,-0.886056648
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-2.63921731
CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,0.278753601
CCCCSCC(O)C(O)C(O)CO,2.255272505
CCCCCCCOCC(O)C(O)C(O)CO,0.982271233
CC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0.698970004
CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,-2.283996656
CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-1.300000003
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-0.522878745
CCCCCC(=O)CC(=O)NC1CCOC1=O,0.336459734
CCCCCCS(=O)CCCCO,2.322219295
CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,0.622214023
CCCCCCOCCOCCOCCO,2.0
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-0.48148606
CCCCCCCCOCCCCOCC1OC(O)C(O)C(O)C1O,-0.522878745
CCCCCCCCCCCCOCCOCCOCCO,-1.281913705
CCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,0.301029996
CCC(CC)COCCOCCOCCOCCOCCOCCO,1.980003372
CCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-1.167491087
CCCC(CCC)COCCOCCOCCOCCOCCOCCO,1.330413773
CCCCCCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)CO,-1.446116973
CC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0.72427587
CCCCCCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)CO,-1.402304814
CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(CO)C(O)C(O)C1O)[C@H](O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(CO)C(O)C(O)C1O)[C@H](O)CO,-2.051098239
CCCCCCCCCCCC(=O)N(CCO)CCO,-0.578396073
CCCCCCCCCCCCOCC#CCOCC1OC(O)C(O)C(O)C1O,-1.494850022
CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,1.84509804
CCCCCCCCCCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1O,-0.853871964
CC(C)CCCC(C)CCCC(C)CCOC1OC[C@@H](O)[C@@H](O)[C@@H]1O,-2.431798276
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-1.0
CCCCCCCCc1ccc(OCCO)cc1,-1.305394801
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)CO,-1.675717545
CCCCCCOCCOCCOCCOCCOCCOCCO,1.840106094
CC(CCC(=O)N(CCCNC(=O)C(O)C(O)C(O)C(O)CO)CCCNC(=O)C(O)C(O)C(O)C(O)CO)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.146128036
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(C)=O,-2.235077015
CCCCCCSCC(O)C(O)C(O)CO,1.079181246
CC(C)CCCC(C)CCCC(C)CCOC1OC[C@@H](O)[C@H](O)[C@@H]1O,-1.517126416
CCCCCCCCCCCCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-0.124938737
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,-0.8261012
