smiles,logCMC
CCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,0.643452676
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.113943352
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],0.968482949
CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],0.875061263
CCCCCCCCc1ccc(OCCO)cc1,-1.305394801
CCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],0.079181246
CCCCCCOCC(O)C(O)C(O)CO,0.986771734
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],-0.040958608
CCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-0.600326279
CCCCCCOCCOCCOCCOCCOCCOCCO,1.840106094
CCCCCCCCCCCOCCO,-0.519993057
CCCC(CCC)CCOCCOCCOCCOCCOCCOCCO,1.330413773
CCCCCCS(=O)CCCO,2.397940009
CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,-1.045757491
CCCCCCCCCCCC[N+](C)(C)CCCCCC.[Br-],0.491361694
CCCCCCCCC(CC)OS(=O)(=O)[O-].C[N+](C)(C)C,0.740362689
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.913813852
CCCCCCCC(CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.899820502
CCCCCCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,-0.522878745
CCCCCCCCCCCCOCCCCOCC1OC(O)C(O)C(O)C1O,-1.638272164
CCCCCCCCCCCCOc1ccc(OCC2OC(O)C(O)C(O)C2O)cc1,0.491361694
CC(C)CCCC(C)CCCC(C)CCOC1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-1.473660723
CCCCCCSCC(O)C(O)C(O)CO,1.079181246
